CATEGORY_NAME;LEVEL_NO;LEVEL_DESCR;RPN_CODE;PART_NUMBER;MARKETING_STATUS;PUBLISHED;GENERAL_DESCRIPTION
Barcode Scanners;4;Cust-Application;194141;EMIF03-SIM02M8;Active;Y;3-line EMI filter and ESD protection for SIM card interfaces
Barcode Scanners;4;Cust-Application;219457;EMIF06-MSD02N16;Active;Y;"6-line EMI filter and ESD protection for T-Flash and micro SD card&#8482; interfaces"
Barcode Scanners;4;Cust-Application;224143;EMIF08-LCD04M16;Active;Y;8-line L-C EMI filter and ESD protection for display interfaces
Barcode Scanners;4;Cust-Application;264480;ESDA7P120-1U1M;Active;Y;High-power transient voltage supressor (TVS)
Barcode Scanners;4;Cust-Application;264137;ESDZV5-1BF4;Active;Y;Ultra Low clamping single line bidirectional ESD protection
Barcode Scanners;4;Cust-Application;263973;HSP053-4M5;Active;Y;4-line ESD protection for high-speed lines
Barcode Scanners;4;Cust-Application;262637;NUCLEO-F429ZI;Active;Y;STM32 Nucleo-144 development board with STM32F429ZI MCU, supports Arduino, ST Zio and morpho connectivity
Barcode Scanners;4;Cust-Application;264921;PROTECT-FINDER;Active;Y;Protection product finder application for Android, iOS and Wandoujia
Barcode Scanners;4;Cust-Application;263850;SEL-PROT-TVS;Active;Y;Transient voltage suppressor smart selection tool
Barcode Scanners;4;Cust-Application;264060;ST25R3911B;Active;Y;High performance HF reader / NFC initiator with 1.4 W supporting VHBR and AAT
Barcode Scanners;4;Cust-Application;264066;ST25R3912;Active;Y;High performance HF reader / NFC initiator  for payment applications with 1 W output power
Barcode Scanners;4;Cust-Application;263502;STEVAL-OET004V1;NRND;Y;USB Type-C protection and filtering demo PCB
Barcode Scanners;4;Cust-Application;265218;STEVAL-POE002V1;Active;Y;5V/8A, synchronous flyback converter, Power over Ethernet (PoE) IEEE 802.3bt compliant reference design
Barcode Scanners;4;Cust-Application;266509;STEVAL-POE003V1;Active;Y;5V/20A, active clamp forward converter, Power Over Ethernet (PoE) - IEEE 802.3bt compliant reference design
Barcode Scanners;4;Cust-Application;259242;STM32CubeMX;Active;Y;STM32Cube initialization code generator
Barcode Scanners;4;Cust-Application;267882;TCPP01-M12;Active;Y;Overvoltage protection for USB-C or Power Delivery
Barcode Scanners;4;Cust-Application;251865;USBLC6-2SC6Y;Active;Y;Automotive very low capacitance ESD protection
Barcode Scanners;4;Cust-Application;262468;X-CUBE-SPN4;Active;Y;Dual brush DC motor driver software expansion for STM32Cube
Barcode Scanners;4;Cust-Application;261981;X-NUCLEO-IHM04A1;Active;Y;Dual brush DC motor driver expansion board based on L6206 for STM32 Nucleo
Barcode Scanners;4;Cust-Application;263212;X-NUCLEO-IHM13A1;Active;Y;Low voltage brush DC motor driver expansion board for STM32 Nucleo based on the STSPIN250
Bidirectional DC/DC Converter;4;Cust-Application;261198;L5963;Active;Y;Automotive dual monolithic switching regulator with LDO and HSD
Bidirectional DC/DC Converter;4;Cust-Application;63397;L9616;Active;Y;Automotive High Speed Can Bus Transceiver
Bidirectional DC/DC Converter;4;Cust-Application;263850;SEL-PROT-TVS;Active;Y;Transient voltage suppressor smart selection tool
Bidirectional DC/DC Converter;4;Cust-Application;261990;SM6T250CAY;Active;Y;Automotive 600 W, 213 V TVS in SMB
Bidirectional DC/DC Converter;4;Cust-Application;260828;SPC58NE84C3;Active;Y;32-bit Power Architecture MCU for High Performance Applications
Bidirectional DC/DC Converter;4;Cust-Application;263145;ST-MOSFET-FINDER;Active;Y;STPOWER MOSFET finder mobile app for tablets and smartphones
Bipolar Stepper Motor;4;Cust-Application;267778;AEK-MOT-SM81M1;Active;Y;Stepper motor driver evaluation board based on the L99SM81V for automotive applications
Bipolar Stepper Motor;4;Cust-Application;259218;EVAL-L9942;Active;Y;Evaluation board for L9942XP microstepping fully integrated motor driver
Bipolar Stepper Motor;4;Cust-Application;253753;EVAL6393FB;Active;Y;Low voltage full bridge reference design board featuring L6393 advanced high-voltage gate driver 
Bipolar Stepper Motor;4;Cust-Application;262156;EVAL6491HB;Active;Y;Demonstration board for L6491 gate driver with smart shut down feature
Bipolar Stepper Motor;4;Cust-Application;265421;EVAL6494L;Active;Y;Demonstration board for L6494L gate driver
Bipolar Stepper Motor;4;Cust-Application;265420;EVAL6498L;Active;Y;Evaluation board for the L6498L gate driver
Bipolar Stepper Motor;4;Cust-Application;264922;EVALSTDRV600HB8;Active;Y;Demonstration board kit for L638xE and L639x high-voltage gate drivers
Bipolar Stepper Motor;4;Cust-Application;264329;EVALSTGAP1AS;Active;Y;STGAP1AS evaluation board
Bipolar Stepper Motor;4;Cust-Application;63235;L6208;Active;Y;DMOS driver for bipolar stepper motor
Bipolar Stepper Motor;4;Cust-Application;248592;L6470;Active;Y;Fully integrated microstepping motor driver with motion engine and SPI 
Bipolar Stepper Motor;4;Cust-Application;263302;STEVAL-3DP001V1;NRND;Y;Evaluation board for 3D printer
Bipolar Stepper Motor;4;Cust-Application;259717;STM32072B-EVAL;Active;Y;Evaluation board with STM32F072VB MCU
Bipolar Stepper Motor;4;Cust-Application;204176;STM3210E-EVAL;Active;Y;Evaluation board with STM32F103Zx MCU
Bipolar Stepper Motor;4;Cust-Application;250374;STM3220G-EVAL;Active;Y;Evaluation board with STM32F207IG MCU
Bipolar Stepper Motor;4;Cust-Application;260953;STM32303E-EVAL;Active;Y;Evaluation board with STM32F303VE MCU
Bipolar Stepper Motor;4;Cust-Application;252216;STM3240G-EVAL;Active;Y;Evaluation board with STM32F407IG MCU
Bipolar Stepper Motor;4;Cust-Application;261638;STM32446E-EVAL;NRND;Y;Evaluation board with STM32F446ZE MCU
Bipolar Stepper Motor;4;Cust-Application;261634;STM32L476G-EVAL;Active;Y;Evaluation board with STM32L476ZG MCU
Bipolar Stepper Motor;4;Cust-Application;263664;STSPIN220;Active;Y;Low voltage stepper motor driver
Bipolar Stepper Motor;4;Cust-Application;265273;STSPIN820;Active;Y;Advanced 256 microsteps integrated motor driver with step-clock and direction interface
Bipolar Stepper Motor;4;Cust-Application;257854;STSW-STM32018;Active;Y;Driving bipolar stepper motors using a medium-density STM32F103xx microcontroller (AN2820)
Bipolar Stepper Motor;4;Cust-Application;261441;X-CUBE-SPN1;Active;Y;Stepper motor driver software expansion for STM32Cube
Bipolar Stepper Motor;4;Cust-Application;261538;X-CUBE-SPN2;Active;Y;Two axes stepper motor driver software expansion for STM32Cube
Bipolar Stepper Motor;4;Cust-Application;261703;X-CUBE-SPN3;Active;Y;High power stepper motor driver software expansion for STM32Cube
Bipolar Stepper Motor;4;Cust-Application;262470;X-CUBE-SPN5;Active;Y;Bipolar stepper motor driver software expansion for STM32Cube
Bipolar Stepper Motor;4;Cust-Application;261319;X-NUCLEO-IHM03A1;Active;Y;High power stepper motor driver expansion board based on powerSTEP01 for STM32 Nucleo
Bipolar Stepper Motor;4;Cust-Application;261984;X-NUCLEO-IHM05A1;Active;Y;Bipolar stepper motor driver expansion board based on L6208 for STM32 Nucleo
Bipolar Stepper Motor;4;Cust-Application;265295;X-NUCLEO-IHM14A1;Active;Y;Stepper motor driver expansion board based on STSPIN820 for STM32 Nucleo
Bipolar Stepper Motor;4;Cust-Application;259084;powerSTEP01;Active;Y;System-in-package integrating microstepping controller and  10 A power MOSFETs
Blood Pressure Monitor;4;Cust-Application;262096;IIS2DH;Active;Y;Ultra low-power high performance 3-axes accelerometer with digital output for industrial applications
Blood Pressure Monitor;4;Cust-Application;265077;IIS3DHHC;Active;Y;High-resolution, high-stability 3-axis digital inclinometer for industrial applications          
Blood Pressure Monitor;4;Cust-Application;263436;NUCLEO-L432KC;Active;Y;STM32 Nucleo-32 development board with STM32L432KC MCU, supports Arduino nano connectivity
Blood Pressure Monitor;4;Cust-Application;264788;NUCLEO-L433RC-P;Active;Y;STM32 Nucleo-64 development board with STM32L433RC MCU, SMPS, supports Arduino, ST Zio and morpho connectivity
Blood Pressure Monitor;4;Cust-Application;263535;NUCLEO-L452RE;Active;Y;STM32 Nucleo-64 development board with STM32L452RE MCU, supports Arduino and ST morpho connectivity
Blood Pressure Monitor;4;Cust-Application;264781;NUCLEO-L4R5ZI;Active;Y;STM32 Nucleo-144 development board with STM32L4R5ZI MCU, supports Arduino, ST Zio and morpho connectivity
Blood Pressure Monitor;4;Cust-Application;264723;STEVAL-LDO001V1;Active;Y;Quad high performance LDO evaluation board based on LDBL20, LDLN025, LD39130S and STLQ020
Blood Pressure Monitor;4;Cust-Application;261374;STL100N8F7;Active;Y;N-channel 80 V, 5.2 mOhm typ., 100 A STripFET F7 Power MOSFET in a PowerFLAT 5x6 package
Blood Pressure Monitor;4;Cust-Application;261795;STL20N6F7;Active;Y;N-channel 60 V, 0.0046 Ohm typ., 20 A STripFET F7 Power MOSFET in a PowerFLAT 3.3x3.3 package
Blood Pressure Monitor;4;Cust-Application;260155;STL45P3LLH6;Active;Y;P-channel -30 V, 11 mOhm typ., -45 A STripFET H6 Power MOSFET in a PowerFLAT 5x6 package
Blood Pressure Monitor;4;Cust-Application;261733;STL50N6F7;Active;Y;N-channel 60 V, 9 mOhm typ., 60 A STripFET F7 Power MOSFET in a PowerFLAT 5x6 package
Blu-ray Players;4;Cust-Application;265055;BALF-NRG-02D3;Active;Y;"50&#937; / conjugate match balun to BlueNRG transceiver, with integrated harmonic filter"
Blu-ray Players;4;Cust-Application;264178;BlueNRG-2;Active;Y;"Programmable Bluetooth&reg; LE 5.2 Wireless SoC"
Blu-ray Players;4;Cust-Application;260894;BlueNRG-MS;Active;Y;Bluetooth Low Energy Network Processor supporting Bluetooth 4.2 core specification
Blu-ray Players;4;Cust-Application;219457;EMIF06-MSD02N16;Active;Y;"6-line EMI filter and ESD protection for T-Flash and micro SD card&#8482; interfaces"
Blu-ray Players;4;Cust-Application;224143;EMIF08-LCD04M16;Active;Y;8-line L-C EMI filter and ESD protection for display interfaces
Blu-ray Players;4;Cust-Application;66631;ESDA6V1BC6;Active;Y;QUAD BIDIRECTIONAL TRANSIL SUPPRESSOR FOR ESD PROTECTION
Blu-ray Players;4;Cust-Application;264480;ESDA7P120-1U1M;Active;Y;High-power transient voltage supressor (TVS)
Blu-ray Players;4;Cust-Application;263558;FERD30H100S;Active;Y;100 V, 30 A Field-Effect Rectifier Diode (FERD)
Blu-ray Players;4;Cust-Application;267013;HDMI2C4-5F2;Active;Y;ESD protection and signal booster for HDMI source control stage interface
Blu-ray Players;4;Cust-Application;260279;HSP051-4N10;Active;Y;4-line ESD protection for high speed lines
Blu-ray Players;4;Cust-Application;263973;HSP053-4M5;Active;Y;4-line ESD protection for high-speed lines
Blu-ray Players;4;Cust-Application;264747;SPBTLE-1S;NRND;Y;"Very low power application module for Bluetooth&#174; Smart v4.2"
Blu-ray Players;4;Cust-Application;261927;SPBTLE-RF;NRND;Y;Very low power module for Bluetooth Smart v4.1
Blu-ray Players;4;Cust-Application;185827;STA309A;Active;Y;"Multi-channel digital audio processor with DDX&#174;"
Blu-ray Players;4;Cust-Application;255615;STCC2540;Active;Y;USB charging controller with integrated power switch
Blu-ray Players;4;Cust-Application;264856;STEVAL-BCNKT01V1;Active;Y;BlueCoin Starter kit
Blu-ray Players;4;Cust-Application;265081;STEVAL-BLUEMIC-1;NRND;Y;"Ultra-low power Bluetooth&#174; low energy microphone based on SPBTLE-1S certified module"
Blu-ray Players;4;Cust-Application;265045;STEVAL-IDB007V1M;NRND;Y;Evaluation platform based on the SPBTLE-1S module
Blu-ray Players;4;Cust-Application;265215;STEVAL-IDB008V2;Active;Y;Evaluation platform based on the BlueNRG-2
Blu-ray Players;4;Cust-Application;263720;STEVAL-STLKT01V1;Active;Y;SensorTile development kit
Blu-ray Players;4;Cust-Application;251597;STLA02;Active;Y;White LED driver for display backlight
Blu-ray Players;4;Cust-Application;252212;STODD03;Active;Y;Monolithic 2 channel power management for high definition ODD with integrated power switch
Blu-ray Players;4;Cust-Application;265056;STSW-BCNKT01;Active;Y;Embedded software samples for BlueCoin: data streaming via USB and BLE, logging on SD card, gesture recognition, audio acquisition and playback
Blu-ray Players;4;Cust-Application;265105;STSW-BLUEMIC-1;Active;Y;"Audio and inertial data streaming via Bluetooth&#174; low energy using SPBTLE-1S very low power application module based on BlueNRG-1"
Blu-ray Players;4;Cust-Application;261967;STSW-BLUENRG-DK;Active;Y;Setup for BlueNRG Kits
Blu-ray Players;4;Cust-Application;263538;STSW-BLUENRG1-DK;Active;Y;BlueNRG-1, BlueNRG-2 DK SW package
Blu-ray Players;4;Cust-Application;260405;STSW-BNRG001;Active;Y;BlueNRG current consumption estimation tool
Blu-ray Players;4;Cust-Application;263728;STSW-STLKT01;Active;Y;Embedded software samples for SensorTile, including sensor data streaming via USB and BLE, data logging on SD card, audio acquisition and playback
Blu-ray Players;4;Cust-Application;262771;STUSB1602;Active;Y;USB Type-C controller (with Tx/Rx line driver and BMC) 
Blu-ray Players;4;Cust-Application;65462;TS922;Active;Y;Excellent audio performance / low distortion (0.005%)
Blu-ray Players;4;Cust-Application;65493;TSH22;Active;Y;High gain bandwidth product bipolar op-amp
Blu-ray Players;4;Cust-Application;142780;TSH345;Active;Y;Single supply triple video buffer and selectable filter for HD and SD video applications
Blu-ray Players;4;Cust-Application;263309;VL53L0X;Active;Y;Time-of-Flight ranging sensor
Blu-ray Players;4;Cust-Application;266510;VL53L1X;Active;Y;Time-of-Flight ranging sensor based on ST's FlightSense technology
Blu-ray Players;4;Cust-Application;260441;VL6180X;Active;Y;Proximity sensor and ambient light sensing (ALS) module
Blu-ray Players;4;Cust-Application;261442;X-CUBE-BLE1;Active;Y;Bluetooth Low Energy software expansion for STM32Cube
Blu-ray Players;4;Cust-Application;262191;X-NUCLEO-IDB05A1;NRND;Y;Bluetooth Low Energy expansion board based on SPBTLE-RF module for STM32 Nucleo
Bluetooth Low Energy;4;Cust-Application;269129;AEK-COM-BLEV1;Active;Y;Bluetooth communication board based on BlueNRG-1
Bluetooth Low Energy;4;Cust-Application;260790;BALF-NRG-01D3;Active;Y;"50&#937; nominal input / conjugate match balun to BlueNRG transceiver, with integrated harmonic filter"
Bluetooth Low Energy;4;Cust-Application;265055;BALF-NRG-02D3;Active;Y;"50&#937; / conjugate match balun to BlueNRG transceiver, with integrated harmonic filter"
Bluetooth Low Energy;4;Cust-Application;262200;BlueNRG-1;Active;Y;"Programmable Bluetooth&reg; LE 5.2 Wireless SoC"
Bluetooth Low Energy;4;Cust-Application;264178;BlueNRG-2;Active;Y;"Programmable Bluetooth&reg; LE 5.2 Wireless SoC"
Bluetooth Low Energy;4;Cust-Application;260894;BlueNRG-MS;Active;Y;Bluetooth Low Energy Network Processor supporting Bluetooth 4.2 core specification
Bluetooth Low Energy;4;Cust-Application;262936;BlueST-SDK;Active;Y;Bluetooth Low Energy and Sensors Technology Software Development Kit (SDK)
Bluetooth Low Energy;4;Cust-Application;269707;FP-ATR-BLE1;Active;Y;STM32Cube function pack for asset tracking using BLE connectivity for SensorTile.box wireless multi sensor development kit
Bluetooth Low Energy;4;Cust-Application;264839;FP-AUD-BVLINK1;Active;Y;STM32 ODE function pack for half-duplex voice streaming over Bluetooth low energy
Bluetooth Low Energy;4;Cust-Application;263215;FP-SEC-BLENFC1;Active;Y;Bluetooth Low Energy and Dynamic NFC tag software expansion for STM32Cube
Bluetooth Low Energy;4;Cust-Application;271170;FP-SNS-DATALOG1;Active;Y;STM32Cube High Speed Datalog function pack for STWIN evaluation kits
Bluetooth Low Energy;4;Cust-Application;267421;MLPF-WB55-01E3;Active;Y;2.4 GHz Matched filter companion chip for STM32WB55Cx and STM32WB55Rx
Bluetooth Low Energy;4;Cust-Application;269251;MLPF-WB55-02E3;Active;Y;2.4 GHz Matched filter companion chip for STM32WB55Vx
Bluetooth Low Energy;4;Cust-Application;265562;P-NUCLEO-WB55;Active;Y;Bluetooth 5 and 802.15.4 Nucleo Pack including USB dongle and Nucleo-64 with STM32WB55 MCUs, supports Arduino Uno V3 and ST morpho connectivity
Bluetooth Low Energy;4;Cust-Application;270155;SL-BCN002V1B;Active;Y;Bluetooth Low Energy 5.0 enabled environment and motion sensing solution
Bluetooth Low Energy;4;Cust-Application;271027;SL-CNWLC01103V1;Active;Y;ST25DV-I2C BLE out-of-band pairing solution
Bluetooth Low Energy;4;Cust-Application;269136;SL-PREDMNT-E2C;NRND;Y;A Condition monitoring cloud gateway solution, using smart sensor nodes and edge processing
Bluetooth Low Energy;4;Cust-Application;264747;SPBTLE-1S;NRND;Y;"Very low power application module for Bluetooth&#174; Smart v4.2"
Bluetooth Low Energy;4;Cust-Application;261927;SPBTLE-RF;NRND;Y;Very low power module for Bluetooth Smart v4.1
Bluetooth Low Energy;4;Cust-Application;264799;SPBTLE-RF0;NRND;Y;Very low power module for Bluetooth Smart v4.1
Bluetooth Low Energy;4;Cust-Application;268058;STBLEMesh;Active;Y;BLE Mesh application for Android and iOS
Bluetooth Low Energy;4;Cust-Application;266960;STEVAL-BCN002V1B;Active;Y;BlueTile - Bluetooth LE enabled sensor node development kit
Bluetooth Low Energy;4;Cust-Application;264856;STEVAL-BCNKT01V1;Active;Y;BlueCoin Starter kit
Bluetooth Low Energy;4;Cust-Application;265081;STEVAL-BLUEMIC-1;NRND;Y;"Ultra-low power Bluetooth&#174; low energy microphone based on SPBTLE-1S certified module"
Bluetooth Low Energy;4;Cust-Application;266803;STEVAL-BLUEPLUG1;NRND;Y;SPBTLE-1S Based Smart Plug
Bluetooth Low Energy;4;Cust-Application;265123;STEVAL-FCU001V1;Active;Y;Flight controller unit evaluation board for toy drones
Bluetooth Low Energy;4;Cust-Application;261924;STEVAL-IDB005V1;Active;Y;Bluetooth low energy board based on the BlueNRG-MS network processor
Bluetooth Low Energy;4;Cust-Application;265045;STEVAL-IDB007V1M;NRND;Y;Evaluation platform based on the SPBTLE-1S module
Bluetooth Low Energy;4;Cust-Application;265116;STEVAL-IDB007V2;Active;Y;STEVAL-IDB007V2 evaluation platform based on the BlueNRG-1
Bluetooth Low Energy;4;Cust-Application;264259;STEVAL-IDB008V1;NRND;Y;Evaluation platform based on the BlueNRG-2
Bluetooth Low Energy;4;Cust-Application;268747;STEVAL-IDB008V1M;Active;Y;Evaluation platform based on the BlueNRG-M2SA module
Bluetooth Low Energy;4;Cust-Application;265215;STEVAL-IDB008V2;Active;Y;Evaluation platform based on the BlueNRG-2
Bluetooth Low Energy;4;Cust-Application;266990;STEVAL-IDB009V1;Active;Y;Evaluation platform based on the BlueNRG-248
Bluetooth Low Energy;4;Cust-Application;268094;STEVAL-IDB011V1;Active;Y;Evaluation platform based on BlueNRG-355MC system-on-chip
Bluetooth Low Energy;4;Cust-Application;262930;STEVAL-ILL083V1;NRND;Y;Smart home lighting based on HVLED815PF and SPBTLE-RF
Bluetooth Low Energy;4;Cust-Application;263720;STEVAL-STLKT01V1;Active;Y;SensorTile development kit
Bluetooth Low Energy;4;Cust-Application;270329;STEVAL-STWINKT1B;Active;Y;STWIN SensorTile Wireless Industrial Node development kit and reference design for industrial IoT applications
Bluetooth Low Energy;4;Cust-Application;268032;STEVAL-STWINWFV1;Active;Y;Wi-Fi expansion for the SensorTile Wireless Industrial Node (STWIN) kit
Bluetooth Low Energy;4;Cust-Application;263301;STEVAL-WESU1;NRND;Y;Wearable sensor unit reference design for fast time to market
Bluetooth Low Energy;4;Cust-Application;259242;STM32CubeMX;Active;Y;STM32Cube initialization code generator
Bluetooth Low Energy;4;Cust-Application;266659;STM32CubeMonRF;Active;Y;Software tool to test the RF performance of STM32-based hardware devices 
Bluetooth Low Energy;4;Cust-Application;265487;STM32CubeProg;Active;Y;STM32CubeProgrammer software for all STM32
Bluetooth Low Energy;4;Cust-Application;264473;STM32CubeWB;Active;Y;STM32Cube MCU Package for STM32WB series (HAL, Low-Layer APIs and CMSIS, USB, File system, RTOS, BLE, Thread and Zigbee stacks - and examples running on ST boards)
Bluetooth Low Energy;4;Cust-Application;268710;STM32WB30CE;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32 MHz with 512 Kbytes of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, AES-256
Bluetooth Low Energy;4;Cust-Application;267853;STM32WB35CC;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 256 Kbytes of Flash memory,  Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, AES-256
Bluetooth Low Energy;4;Cust-Application;267854;STM32WB35CE;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 512 Kbytes of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, AES-256
Bluetooth Low Energy;4;Cust-Application;268371;STM32WB50CG;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0 32MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, AES 256
Bluetooth Low Energy;4;Cust-Application;264390;STM32WB55CC;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with  256 Kbyte of Flash memory,  Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264389;STM32WB55CE;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 512 Kbyte of Flash memory, BLE 5.2, 802.15.4, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264388;STM32WB55CG;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264394;STM32WB55RC;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 256 Kbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264393;STM32WB55RE;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 512 Kbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264387;STM32WB55RG;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264392;STM32WB55VC;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 256 Kbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264391;STM32WB55VE;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 512 Kbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;264386;STM32WB55VG;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;270137;STM32WB55VY;Active;Y;Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 640 Kbytes of Flash memory,Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;268647;STM32WB5MMG;Active;Y;Ultra-low-power Module - Dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.2, 802.15.4, Zigbee, Thread, USB, LCD, AES-256
Bluetooth Low Energy;4;Cust-Application;265056;STSW-BCNKT01;Active;Y;Embedded software samples for BlueCoin: data streaming via USB and BLE, logging on SD card, gesture recognition, audio acquisition and playback
Bluetooth Low Energy;4;Cust-Application;264681;STSW-BNRG-Mesh;Active;Y;Mesh over Bluetooth Low Energy
Bluetooth Low Energy;4;Cust-Application;270877;STSW-BNRGLP-Mesh;Active;Y;Mesh over Bluetooth low energy
Bluetooth Low Energy;4;Cust-Application;261442;X-CUBE-BLE1;Active;Y;Bluetooth Low Energy software expansion for STM32Cube
Bluetooth Low Energy;4;Cust-Application;269271;X-NUCLEO-EEPRMA2;Active;Y;"Standard I&#178;C and SPI EEPROM memory expansion board based on M24xx and M95xx series for STM32 Nucleo"
Bluetooth Low Energy;4;Cust-Application;260517;X-NUCLEO-IDB04A1;NRND;Y;Bluetooth low energy expansion board based on BlueNRG for STM32 Nucleo
Bluetooth Low Energy;4;Cust-Application;262191;X-NUCLEO-IDB05A1;NRND;Y;Bluetooth Low Energy expansion board based on SPBTLE-RF module for STM32 Nucleo
Bluetooth Low Energy;4;Cust-Application;268748;X-NUCLEO-IDB05A2;Active;Y;Bluetooth low energy expansion board based on the BlueNRG-M0 module for STM32 Nucleo
Body Control Module (BCM);4;Cust-Application;253244;A3G4250D;Active;Y;3-axis digital gyroscope for automotive telematics, navigation applications, AEC-Q100 qualified
Body Control Module (BCM);4;Cust-Application;266557;AIS2IH;Active;Y;MEMS digital output motion sensor: high-performance 3-axis accelerometer for automobile applications
Body Control Module (BCM);4;Cust-Application;251153;AIS328DQ;Active;Y;Automotive 3-axis accelerometer, ultra low power, SPI/I2C digital output, AEC-Q100 qualified
Body Control Module (BCM);4;Cust-Application;265516;ASM330LHH;Active;Y;Automotive 6-axis inertial module: 3D accelerometer and 3D gyroscope
Body Control Module (BCM);4;Cust-Application;263896;EMIF02-02OABRY;Active;Y;Automotive low-pass filter and ESD protection for BroadR-Reach? in QFN
Body Control Module (BCM);4;Cust-Application;264257;EV-VN7003AH;Active;Y;VN7003AH Evaluation Board
Body Control Module (BCM);4;Cust-Application;263822;EV-VN7007AH;Active;Y;VN7007AH Evaluation Board
Body Control Module (BCM);4;Cust-Application;260040;EV-VN7010AJ;Active;Y;VN7010AJ Evaluation Board
Body Control Module (BCM);4;Cust-Application;265036;EV-VNH7040AY;Active;Y;VNH7040AY Evaluation Board
Body Control Module (BCM);4;Cust-Application;261509;EV-VNH7070AS;Active;Y;VNH7070AS Evaluation board
Body Control Module (BCM);4;Cust-Application;265229;EV-VNH7100BAS;Active;Y;VNH7100BAS Evaluation board
Body Control Module (BCM);4;Cust-Application;250839;L99PM62GXP;Active;Y;Power Management IC with LIN and High Speed CAN
Body Control Module (BCM);4;Cust-Application;258903;L99PM72GXP;Active;Y;Advanced Power Management sSstem IC with embedded LIN and high speed CAN Transceiver supporting CAN Partial Networking
Body Control Module (BCM);4;Cust-Application;261997;L99SM81V;Active;Y;Programmable Stepper Motor Driver for Automotive Applications with Micro-Stepping and Stall Detection 
Body Control Module (BCM);4;Cust-Application;261493;SAMPLEKITM0-7;Active;Y;Evaluation sample box
Body Control Module (BCM);4;Cust-Application;265122;SAMPLES-AUTOPMIC;Active;Y;Automotive Voltage Regulators & System Basis Chip Evaluation Tool
Body Control Module (BCM);4;Cust-Application;262971;SPC5-EV-ADIS;Active;Y;Adapter board
Body Control Module (BCM);4;Cust-Application;255702;SPC5-STUDIO;Active;Y;Code Generator, Quick resources configurator and Eclipse development environment for SPC5 MCUs
Body Control Module (BCM);4;Cust-Application;258745;SPC5-UDEDEBG;Active;Y;PLS JTAG debugger software full license or license renewal
